Transaction_Date,Customer_ID,Product_Category,Revenue,Year,Month,Day,Day_of_Week
2026-01-07,CUST-1019,Keyboard,935.05,2026,1,7,Wednesday
2026-01-21,CUST-1016,Mouse,418.85,2026,1,21,Wednesday
2026-03-14,CUST-1016,Mouse,1117.95,2026,3,14,Saturday
2026-02-08,CUST-1019,Keyboard,1032.22,2026,2,8,Sunday
2026-01-18,CUST-1011,Mouse,523.36,2026,1,18,Sunday
2026-01-04,CUST-1006,Mouse,904.78,2026,1,4,Sunday
2026-03-30,CUST-1001,Mouse,909.13,2026,3,30,Monday
2026-03-01,CUST-1002,Laptop,137.2,2026,3,1,Sunday
2026-01-14,CUST-1016,Laptop,1084.53,2026,1,14,Wednesday
2026-01-09,CUST-1004,Laptop,613.72,2026,1,9,Friday
2026-03-31,CUST-1016,Keyboard,994.35,2026,3,31,Tuesday
2026-02-22,CUST-1016,Desk Chair,394.26,2026,2,22,Sunday
2026-01-02,CUST-1016,Mouse,1076.2,2026,1,2,Friday
2026-03-25,CUST-1001,Mouse,476.2,2026,3,25,Wednesday
2026-04-02,CUST-1002  ,Keyboard,27.84,2026,4,2,Thursday
2026-03-01,CUST-1004,Mouse,1087.88,2026,3,1,Sunday
2026-03-12,CUST-1000,Laptop,123.17,2026,3,12,Thursday
2026-02-13,CUST-1000,Desk Chair,393.39,2026,2,13,Friday
2026-01-08,CUST-1018,Monitor,1140.82,2026,1,8,Thursday
2026-02-16,CUST-1001,Mouse,1141.47,2026,2,16,Monday
2026-02-04,CUST-1011,Laptop,694.52,2026,2,4,Wednesday
2026-03-19,CUST-1005,Monitor,763.73,2026,3,19,Thursday
2026-03-22,CUST-1003,Desk Chair,546.41,2026,3,22,Sunday
2026-02-05,CUST-1010,Monitor,362.45,2026,2,5,Thursday
2026-02-19,CUST-1016,Laptop,404.47,2026,2,19,Thursday
2026-01-04,CUST-1005,Monitor,811.93,2026,1,4,Sunday
2026-01-02,CUST-1004,Keyboard,906.56,2026,1,2,Friday
2026-01-06,CUST-1019,Monitor,953.02,2026,1,6,Tuesday
2026-02-23,CUST-1001,Mouse,950.7,2026,2,23,Monday
2026-01-04,CUST-1005,Unknown,123.08,2026,1,4,Sunday
2026-02-23,CUST-1010,Keyboard,600.89,2026,2,23,Monday
2026-04-03,CUST-1015,Laptop,83.21,2026,4,3,Friday
2026-03-04,CUST-1015,Mouse,666.19,2026,3,4,Wednesday
2026-01-18,CUST-1000,Desk Chair,538.21,2026,1,18,Sunday
2026-03-31,CUST-1008,Mouse,666.19,2026,3,31,Tuesday
2026-02-13,CUST-1005,Mouse,430.83,2026,2,13,Friday
2026-02-03,CUST-1015,Laptop,153.72,2026,2,3,Tuesday
2026-03-15,CUST-1002,Monitor,184.45,2026,3,15,Sunday
2026-03-03,CUST-1019,Mouse,917.39,2026,3,3,Tuesday
2026-04-10,CUST-1003,Keyboard,747.59,2026,4,10,Friday
2026-01-14,CUST-1018,Monitor,134.83,2026,1,14,Wednesday
2026-04-05,CUST-1002,Desk Chair,114.67,2026,4,5,Sunday
2026-02-17,CUST-1018,Laptop,845.65,2026,2,17,Tuesday
2026-01-15,CUST-1019,Desk Chair,101.22,2026,1,15,Thursday
2026-03-13,CUST-1006,Monitor,988.9,2026,3,13,Friday
2026-03-19,CUST-1019,Monitor,851.9,2026,3,19,Thursday
2026-03-28,CUST-1008,Monitor,111.4,2026,3,28,Saturday
2026-03-03,CUST-1000,Desk Chair,115.53,2026,3,3,Tuesday
2026-02-09,CUST-1007,Monitor,1184.17,2026,2,9,Monday
2026-03-26,CUST-1006,Desk Chair,458.51,2026,3,26,Thursday
2026-03-21,CUST-1017,Monitor,454.21,2026,3,21,Saturday
2026-03-23,CUST-1007,Keyboard,978.17,2026,3,23,Monday
2026-02-22,CUST-1000,Monitor,1137.49,2026,2,22,Sunday
2026-01-24,CUST-1010,Desk Chair,1183.41,2026,1,24,Saturday
2026-01-26,CUST-1017,Mouse,907.75,2026,1,26,Monday
2026-03-30,CUST-1009,Monitor,460.87,2026,3,30,Monday
2026-03-01,CUST-1002,Mouse,113.95,2026,3,1,Sunday
2026-02-10,CUST-1006,Keyboard,935.92,2026,2,10,Tuesday
2026-01-29,CUST-1015,Laptop,676.71,2026,1,29,Thursday
2026-01-15,CUST-1015,Keyboard,517.7,2026,1,15,Thursday
2026-02-14,CUST-1019,Monitor,1089.03,2026,2,14,Saturday
2026-03-06,CUST-1016,Mouse,146.77,2026,3,6,Friday
2026-03-30,CUST-1001,Mouse,598.76,2026,3,30,Monday
2026-03-12,CUST-1000,Desk Chair,28.45,2026,3,12,Thursday
2026-01-09,CUST-1015,Mouse,150.0,2026,1,9,Friday
2026-03-29,CUST-1011,Desk Chair,81.72,2026,3,29,Sunday
2026-01-01,CUST-1004,Laptop,155.8,2026,1,1,Thursday
2026-01-08,CUST-1004,Monitor,154.27,2026,1,8,Thursday
2026-03-29,CUST-1008,Desk Chair,784.31,2026,3,29,Sunday
2026-03-04,CUST-1008,Laptop,899.06,2026,3,4,Wednesday
2026-01-11,CUST-1002,Mouse,706.29,2026,1,11,Sunday
2026-03-22,CUST-1018,Mouse,1155.17,2026,3,22,Sunday
2026-01-08,CUST-1015,Laptop,459.22,2026,1,8,Thursday
2026-02-04,CUST-1015,Mouse,353.57,2026,2,4,Wednesday
2026-02-04,CUST-1002,Laptop,1044.29,2026,2,4,Wednesday
2026-02-02,CUST-1019,Desk Chair,279.96,2026,2,2,Monday
2026-01-05,CUST-1000,Desk Chair,1156.42,2026,1,5,Monday
2026-02-10,CUST-1019,Laptop,29.4,2026,2,10,Tuesday
2026-01-28,CUST-1010,Desk Chair,1164.31,2026,1,28,Wednesday
2026-01-07,CUST-1016,Desk Chair,66.14,2026,1,7,Wednesday
2026-03-14,CUST-1007,Desk Chair,1071.0,2026,3,14,Saturday
2026-03-13,CUST-1003,Keyboard,640.33,2026,3,13,Friday
2026-01-12,CUST-1005,Monitor,1191.66,2026,1,12,Monday
2026-02-03,CUST-1007,Mouse,102.45,2026,2,3,Tuesday
2026-02-02,CUST-1019,Keyboard,671.32,2026,2,2,Monday
2026-02-17,CUST-1002,Desk Chair,1163.62,2026,2,17,Tuesday
2026-01-23,CUST-1015,Laptop,634.87,2026,1,23,Friday
2026-03-03,CUST-1002,Desk Chair,760.84,2026,3,3,Tuesday
2026-03-29,CUST-1017,Monitor,839.46,2026,3,29,Sunday
2026-02-06,CUST-1013,Desk Chair,553.63,2026,2,6,Friday
2026-04-09,CUST-1017,Laptop,758.66,2026,4,9,Thursday
2026-02-13,CUST-1001,Monitor,707.41,2026,2,13,Friday
2026-03-27,CUST-1002,Desk Chair,1082.87,2026,3,27,Friday
2026-04-01,CUST-1015,Monitor,68.85,2026,4,1,Wednesday
2026-02-04,CUST-1008,Mouse,347.94,2026,2,4,Wednesday
2026-03-06,CUST-1003,Mouse,1141.24,2026,3,6,Friday
2026-04-09,CUST-1000,Desk Chair,1069.96,2026,4,9,Thursday
2026-02-16,CUST-1003,Monitor,554.95,2026,2,16,Monday
2026-03-19,CUST-1000,Laptop,749.86,2026,3,19,Thursday
2026-01-03,CUST-1013,Desk Chair,343.7,2026,1,3,Saturday
2026-01-01,CUST-1015,Mouse,237.92,2026,1,1,Thursday
2026-01-05,CUST-1019,Mouse,564.48,2026,1,5,Monday
2026-03-31,CUST-1007,Desk Chair,433.72,2026,3,31,Tuesday
2026-01-14,CUST-1006,Monitor,706.63,2026,1,14,Wednesday
